# Setpoints,Voltages
1.620000000000000000e+02,1.297698500000000199e-01
1.630000000000000000e+02,1.305396499999999516e-01
1.640000000000000000e+02,1.312955000000000094e-01
1.650000000000000000e+02,1.320740499999999984e-01
1.660000000000000000e+02,1.328224500000000086e-01
1.670000000000000000e+02,1.336069000000000284e-01
1.680000000000000000e+02,1.343708000000000125e-01
1.690000000000000000e+02,1.351620000000000044e-01
1.700000000000000000e+02,1.359094499999999872e-01
1.710000000000000000e+02,1.366776000000000102e-01
1.720000000000000000e+02,1.374405999999999961e-01
1.730000000000000000e+02,1.381948499999999802e-01
1.740000000000000000e+02,1.389788000000000134e-01
1.750000000000000000e+02,1.397584500000000340e-01
1.760000000000000000e+02,1.405270000000000130e-01
1.770000000000000000e+02,1.412924999999999875e-01
1.780000000000000000e+02,1.420646499999999868e-01
1.790000000000000000e+02,1.428581000000000156e-01
1.800000000000000000e+02,1.436421000000000503e-01
1.810000000000000000e+02,1.443872999999999962e-01
1.820000000000000000e+02,1.451546999999999976e-01
1.830000000000000000e+02,1.459433499999999995e-01
1.840000000000000000e+02,1.467079499999999759e-01
1.850000000000000000e+02,1.474991000000000219e-01
1.860000000000000000e+02,1.482622000000000106e-01
1.870000000000000000e+02,1.490381999999999818e-01
1.880000000000000000e+02,1.497968500000000092e-01
1.890000000000000000e+02,1.505563499999999499e-01
1.900000000000000000e+02,1.513216000000000283e-01
1.910000000000000000e+02,1.521073500000000023e-01
1.920000000000000000e+02,1.529187000000000185e-01
1.930000000000000000e+02,1.537152500000000255e-01
1.940000000000000000e+02,1.545464999999999756e-01
1.950000000000000000e+02,1.553424499999999653e-01
1.960000000000000000e+02,1.561764499999999944e-01
1.970000000000000000e+02,1.569712500000000066e-01
1.980000000000000000e+02,1.577824499999999630e-01
1.990000000000000000e+02,1.586026000000000102e-01
2.000000000000000000e+02,1.594459500000000030e-01
2.010000000000000000e+02,1.602825500000000236e-01
2.020000000000000000e+02,1.610898000000000052e-01
2.030000000000000000e+02,1.619092500000000046e-01
2.040000000000000000e+02,1.627141500000000018e-01
2.050000000000000000e+02,1.635805499999999912e-01
2.060000000000000000e+02,1.643990000000000173e-01
2.070000000000000000e+02,1.651895000000000169e-01
2.080000000000000000e+02,1.660025500000000265e-01
2.090000000000000000e+02,1.668750999999999984e-01
2.100000000000000000e+02,1.676771499999999970e-01
2.110000000000000000e+02,1.684952000000000116e-01
2.120000000000000000e+02,1.693049500000000096e-01
2.130000000000000000e+02,1.701193500000000025e-01
2.140000000000000000e+02,1.709316000000000169e-01
2.150000000000000000e+02,1.717602000000000018e-01
2.160000000000000000e+02,1.725583499999999992e-01
2.170000000000000000e+02,1.734163499999999691e-01
2.180000000000000000e+02,1.742124999999999924e-01
2.190000000000000000e+02,1.750147999999999981e-01
2.200000000000000000e+02,1.758386999999999867e-01
2.210000000000000000e+02,1.766614000000000240e-01
2.220000000000000000e+02,1.774769999999999959e-01
2.230000000000000000e+02,1.782911999999999830e-01
2.240000000000000000e+02,1.790930000000000022e-01
2.250000000000000000e+02,1.799584499999999920e-01
2.260000000000000000e+02,1.807343999999999895e-01
2.270000000000000000e+02,1.815781999999999952e-01
2.280000000000000000e+02,1.824033500000000196e-01
2.290000000000000000e+02,1.832208999999999921e-01
2.300000000000000000e+02,1.840319499999999719e-01
2.310000000000000000e+02,1.848588999999999927e-01
2.320000000000000000e+02,1.856969999999999732e-01
2.330000000000000000e+02,1.865195000000000047e-01
2.340000000000000000e+02,1.873142999999999891e-01
2.350000000000000000e+02,1.881404999999999883e-01
2.360000000000000000e+02,1.889348500000000153e-01
2.370000000000000000e+02,1.897660499999999639e-01
2.380000000000000000e+02,1.905941499999999622e-01
2.390000000000000000e+02,1.914189000000000307e-01
2.400000000000000000e+02,1.922492499999999827e-01
2.410000000000000000e+02,1.930744499999999808e-01
2.420000000000000000e+02,1.938481000000000232e-01
2.430000000000000000e+02,1.946299499999999960e-01
2.440000000000000000e+02,1.954107000000000205e-01
2.450000000000000000e+02,1.962512999999999896e-01
2.460000000000000000e+02,1.970746999999999916e-01
2.470000000000000000e+02,1.978822000000000358e-01
2.480000000000000000e+02,1.986894499999999897e-01
2.490000000000000000e+02,1.995264500000000218e-01
2.500000000000000000e+02,2.003357499999999791e-01
2.510000000000000000e+02,2.011744999999999783e-01
2.520000000000000000e+02,2.019661000000000095e-01
2.530000000000000000e+02,2.028103500000000281e-01
2.540000000000000000e+02,2.035673000000000066e-01
2.550000000000000000e+02,2.044270499999999990e-01
2.560000000000000000e+02,2.052531000000000216e-01
2.570000000000000000e+02,2.060507500000000047e-01
2.580000000000000000e+02,2.068382500000000290e-01
2.590000000000000000e+02,2.076272499999999854e-01
