# Setpoints,Voltages
3.460000000000000000e+02,2.693424999999999847e-01
3.470000000000000000e+02,2.701390000000000180e-01
3.480000000000000000e+02,2.709229499999999957e-01
3.490000000000000000e+02,2.716925499999999771e-01
3.500000000000000000e+02,2.724626499999999729e-01
3.510000000000000000e+02,2.732537999999999911e-01
3.520000000000000000e+02,2.740561499999999984e-01
3.530000000000000000e+02,2.748772999999999356e-01
3.540000000000000000e+02,2.756205000000000460e-01
3.550000000000000000e+02,2.764260000000000050e-01
3.560000000000000000e+02,2.772251499999999202e-01
3.570000000000000000e+02,2.779697500000000154e-01
3.580000000000000000e+02,2.787076999999999471e-01
3.590000000000000000e+02,2.795344999999999636e-01
3.600000000000000000e+02,2.803624000000000116e-01
3.610000000000000000e+02,2.811699000000000281e-01
3.620000000000000000e+02,2.819346999999999825e-01
3.630000000000000000e+02,2.827228999999999992e-01
3.640000000000000000e+02,2.834746999999999684e-01
3.650000000000000000e+02,2.842838499999999491e-01
3.660000000000000000e+02,2.850440499999999933e-01
3.670000000000000000e+02,2.858227000000000406e-01
3.680000000000000000e+02,2.865326500000000554e-01
3.690000000000000000e+02,2.873124000000000233e-01
3.700000000000000000e+02,2.880962999999999719e-01
3.710000000000000000e+02,2.888748499999999608e-01
3.720000000000000000e+02,2.896637499999999976e-01
3.730000000000000000e+02,2.904911000000000021e-01
3.740000000000000000e+02,2.912404999999999577e-01
3.750000000000000000e+02,2.920522500000000132e-01
3.760000000000000000e+02,2.928479500000000235e-01
3.770000000000000000e+02,2.936377000000000015e-01
3.780000000000000000e+02,2.943871000000000127e-01
3.790000000000000000e+02,2.951620499999999536e-01
3.800000000000000000e+02,2.959452999999999667e-01
3.810000000000000000e+02,2.967039999999999678e-01
3.820000000000000000e+02,2.974806500000000131e-01
3.830000000000000000e+02,2.982426000000000244e-01
3.840000000000000000e+02,2.990964500000000137e-01
3.850000000000000000e+02,2.999180499999999361e-01
3.860000000000000000e+02,3.006808499999999995e-01
3.870000000000000000e+02,3.015011499999999955e-01
3.880000000000000000e+02,3.022944000000000742e-01
3.890000000000000000e+02,3.030976500000000518e-01
3.900000000000000000e+02,3.038879500000000178e-01
3.910000000000000000e+02,3.046800000000000064e-01
3.920000000000000000e+02,3.054820500000000050e-01
3.930000000000000000e+02,3.062803000000000053e-01
3.940000000000000000e+02,3.071131999999999751e-01
3.950000000000000000e+02,3.078572000000000530e-01
3.960000000000000000e+02,3.086659499999999667e-01
3.970000000000000000e+02,3.094329500000000399e-01
3.980000000000000000e+02,3.102452000000000543e-01
3.990000000000000000e+02,3.110125499999999432e-01
4.000000000000000000e+02,3.118325000000000680e-01
4.010000000000000000e+02,3.125777499999999876e-01
4.020000000000000000e+02,3.133985000000000243e-01
4.030000000000000000e+02,3.141483999999999943e-01
4.040000000000000000e+02,3.149669000000000496e-01
4.050000000000000000e+02,3.157336499999999768e-01
4.060000000000000000e+02,3.165498999999999952e-01
4.070000000000000000e+02,3.173310999999999771e-01
4.080000000000000000e+02,3.181290999999999980e-01
4.090000000000000000e+02,3.189276500000000070e-01
4.100000000000000000e+02,3.197432000000000607e-01
4.110000000000000000e+02,3.205251500000000364e-01
4.120000000000000000e+02,3.213147000000000086e-01
4.130000000000000000e+02,3.220965999999999552e-01
4.140000000000000000e+02,3.228786000000000156e-01
4.150000000000000000e+02,3.236816000000000138e-01
4.160000000000000000e+02,3.244564999999999810e-01
4.170000000000000000e+02,3.252822000000000768e-01
4.180000000000000000e+02,3.260815499999999978e-01
4.190000000000000000e+02,3.268792999999999838e-01
4.200000000000000000e+02,3.276303500000000701e-01
4.210000000000000000e+02,3.284504999999999786e-01
4.220000000000000000e+02,3.292601499999999737e-01
4.230000000000000000e+02,3.300356999999999874e-01
4.240000000000000000e+02,3.309032499999999821e-01
4.250000000000000000e+02,3.316460999999999437e-01
4.260000000000000000e+02,3.324228000000000738e-01
4.270000000000000000e+02,3.332090000000000329e-01
4.280000000000000000e+02,3.340226000000000028e-01
4.290000000000000000e+02,3.347959999999999825e-01
4.300000000000000000e+02,3.355878499999999098e-01
4.310000000000000000e+02,3.363775999999999988e-01
4.320000000000000000e+02,3.372020499999999754e-01
4.330000000000000000e+02,3.380561499999999997e-01
4.340000000000000000e+02,3.388309999999999933e-01
4.350000000000000000e+02,3.396210999999999536e-01
4.360000000000000000e+02,3.404058999999999835e-01
4.370000000000000000e+02,3.411958500000000227e-01
4.380000000000000000e+02,3.419472000000000067e-01
4.390000000000000000e+02,3.427147500000000124e-01
4.400000000000000000e+02,3.435808999999999669e-01
4.410000000000000000e+02,3.443754499999999164e-01
4.420000000000000000e+02,3.451973500000000139e-01
4.430000000000000000e+02,3.459947500000000176e-01
4.440000000000000000e+02,3.467294000000000209e-01
4.450000000000000000e+02,3.475958000000000103e-01
4.460000000000000000e+02,3.483941000000000399e-01
4.470000000000000000e+02,3.492031999999999914e-01
4.480000000000000000e+02,3.500051000000000134e-01
4.490000000000000000e+02,3.507674500000000917e-01
4.500000000000000000e+02,3.516027500000000194e-01
4.510000000000000000e+02,3.523488999999999649e-01
4.520000000000000000e+02,3.531733000000000233e-01
4.530000000000000000e+02,3.540115000000000345e-01
4.540000000000000000e+02,3.548448499999999894e-01
4.550000000000000000e+02,3.556912500000000699e-01
4.560000000000000000e+02,3.564899499999999444e-01
4.570000000000000000e+02,3.573236999999999663e-01
4.580000000000000000e+02,3.581316500000000236e-01
4.590000000000000000e+02,3.589594999999999869e-01
4.600000000000000000e+02,3.597381499999999788e-01
4.610000000000000000e+02,3.605892500000000278e-01
4.620000000000000000e+02,3.613866499999999204e-01
4.630000000000000000e+02,3.622170500000000404e-01
4.640000000000000000e+02,3.629520499999999705e-01
4.650000000000000000e+02,3.638006999999999769e-01
4.660000000000000000e+02,3.646049000000000651e-01
4.670000000000000000e+02,3.653865500000000321e-01
4.680000000000000000e+02,3.662071999999999550e-01
4.690000000000000000e+02,3.670126499999999958e-01
4.700000000000000000e+02,3.678338500000000177e-01
4.710000000000000000e+02,3.686483999999999872e-01
4.720000000000000000e+02,3.693953999999999849e-01
4.730000000000000000e+02,3.701802499999999885e-01
4.740000000000000000e+02,3.709950999999999666e-01
4.750000000000000000e+02,3.718294500000000058e-01
4.760000000000000000e+02,3.726410999999999474e-01
4.770000000000000000e+02,3.734368000000000132e-01
4.780000000000000000e+02,3.742419499999999899e-01
4.790000000000000000e+02,3.750775499999999818e-01
4.800000000000000000e+02,3.758301499999999740e-01
4.810000000000000000e+02,3.766623500000000346e-01
4.820000000000000000e+02,3.774757999999999170e-01
4.830000000000000000e+02,3.782533500000000437e-01
4.840000000000000000e+02,3.790938500000000100e-01
4.850000000000000000e+02,3.798405499999999990e-01
4.860000000000000000e+02,3.806386000000000491e-01
4.870000000000000000e+02,3.814663999999999833e-01
4.880000000000000000e+02,3.822564000000000517e-01
4.890000000000000000e+02,3.831382999999999872e-01
4.900000000000000000e+02,3.839476499999999737e-01
4.910000000000000000e+02,3.847349500000000200e-01
4.920000000000000000e+02,3.855227500000000251e-01
4.930000000000000000e+02,3.863280000000000602e-01
4.940000000000000000e+02,3.871417999999999804e-01
4.950000000000000000e+02,3.879221000000000474e-01
4.960000000000000000e+02,3.886872000000000105e-01
4.970000000000000000e+02,3.895282500000000203e-01
4.980000000000000000e+02,3.902786000000000310e-01
4.990000000000000000e+02,3.911038000000000014e-01
5.000000000000000000e+02,3.919650499999999815e-01
5.010000000000000000e+02,3.927468499999999807e-01
5.020000000000000000e+02,3.935392500000000071e-01
5.030000000000000000e+02,3.943349000000000437e-01
5.040000000000000000e+02,3.951933999999999725e-01
5.050000000000000000e+02,3.960177999999999754e-01
5.060000000000000000e+02,3.967859500000000539e-01
5.070000000000000000e+02,3.975880500000000262e-01
5.080000000000000000e+02,3.984161499999999689e-01
5.090000000000000000e+02,3.992147000000000334e-01
5.100000000000000000e+02,4.000186999999999493e-01
5.110000000000000000e+02,4.008238499999999815e-01
5.120000000000000000e+02,4.017154500000000295e-01
5.130000000000000000e+02,4.025168000000000079e-01
5.140000000000000000e+02,4.032918500000000073e-01
5.150000000000000000e+02,4.041204999999999936e-01
5.160000000000000000e+02,4.049286999999999748e-01
5.170000000000000000e+02,4.057373000000000229e-01
5.180000000000000000e+02,4.065102999999999911e-01
5.190000000000000000e+02,4.072831000000000645e-01
5.200000000000000000e+02,4.080944999999999712e-01
5.210000000000000000e+02,4.088640000000000607e-01
5.220000000000000000e+02,4.097204500000000138e-01
5.230000000000000000e+02,4.105729999999999658e-01
5.240000000000000000e+02,4.113687500000000052e-01
5.250000000000000000e+02,4.121192500000000480e-01
5.260000000000000000e+02,4.128760999999999681e-01
5.270000000000000000e+02,4.137201499999999532e-01
5.280000000000000000e+02,4.144993500000000997e-01
5.290000000000000000e+02,4.152910999999999686e-01
5.300000000000000000e+02,4.160738500000000784e-01
5.310000000000000000e+02,4.168557499999999694e-01
5.320000000000000000e+02,4.177163499999999585e-01
5.330000000000000000e+02,4.185161499999999757e-01
5.340000000000000000e+02,4.192598499999999895e-01
5.350000000000000000e+02,4.200704000000000105e-01
5.360000000000000000e+02,4.208714500000000358e-01
5.370000000000000000e+02,4.216666000000000025e-01
5.380000000000000000e+02,4.225155499999999620e-01
5.390000000000000000e+02,4.233395499999999534e-01
5.400000000000000000e+02,4.240491499999999858e-01
5.410000000000000000e+02,4.248165499999999595e-01
5.420000000000000000e+02,4.256417499999999299e-01
5.430000000000000000e+02,4.264236999999999611e-01
5.440000000000000000e+02,4.272775500000000060e-01
5.450000000000000000e+02,4.280420999999999809e-01
5.460000000000000000e+02,4.288615000000000066e-01
5.470000000000000000e+02,4.296479999999999744e-01
5.480000000000000000e+02,4.304691999999999408e-01
5.490000000000000000e+02,4.312489000000000461e-01
5.500000000000000000e+02,4.320799499999999904e-01
5.510000000000000000e+02,4.329234499999999874e-01
5.520000000000000000e+02,4.337628500000000331e-01
5.530000000000000000e+02,4.345626499999999948e-01
5.540000000000000000e+02,4.353644500000000694e-01
5.550000000000000000e+02,4.361919999999999686e-01
5.560000000000000000e+02,4.369479000000000002e-01
5.570000000000000000e+02,4.377345500000000555e-01
5.580000000000000000e+02,4.385596999999999968e-01
5.590000000000000000e+02,4.393630999999998954e-01
5.600000000000000000e+02,4.401069499999999968e-01
5.610000000000000000e+02,4.409142500000000631e-01
5.620000000000000000e+02,4.417518000000000278e-01
5.630000000000000000e+02,4.425942499999999669e-01
5.640000000000000000e+02,4.433093000000000172e-01
5.650000000000000000e+02,4.440956000000000903e-01
5.660000000000000000e+02,4.449328999999999645e-01
5.670000000000000000e+02,4.457282499999999925e-01
5.680000000000000000e+02,4.465168499999999652e-01
5.690000000000000000e+02,4.473557999999999701e-01
5.700000000000000000e+02,4.481949000000000072e-01
5.710000000000000000e+02,4.489675000000000193e-01
